"ath1_probe";"probe_target_number";"FC_35LFY_vs_LER";"pfp_35LFY_vs_LER_down";"P.value_35LFY_vs_LER_down";"pfp_35LFY_vs_LER_up";"P.value_35LFY_vs_LER_up"
"244901_at";"1";"1.002";"0.9751";"0.7012";"1.2908";"0.4687"
"244902_at";"2";"1";"0.9767";"0.698";"1.2857";"0.4945"
"244903_at";"3";"1.3076";"1.03";"0.9908";"0.5422";"0.0242"
"244904_at";"4";"1";"1.0698";"0.5847";"1.0746";"0.627"
"244905_at";"5";"1";"0.9758";"0.6922";"1.2871";"0.484"
"244906_at";"6";"1.4374";"1.0643";"0.938";"0.4466";"0.0147"
"244907_at";"7";"1";"1.3361";"0.4906";"1.302";"0.5152"
"244908_at";"8";"1";"1.0698";"0.5847";"1.0746";"0.627"
"244909_at";"9";"1";"1.0698";"0.5847";"1.0746";"0.627"
"244910_s_at";"10";"1";"1.0698";"0.5847";"1.0746";"0.627"
"244911_at";"11";"0.9686";"1.2467";"0.3308";"0.9933";"0.7806"
"244912_at";"12";"1.2474";"1.0506";"0.9729";"0.6308";"0.0426"
"244913_at";"13";"1";"1.0698";"0.5847";"1.0746";"0.627"
"244914_at";"14";"1";"1.0698";"0.5847";"1.0746";"0.627"
"244915_s_at";"15";"1";"1.0698";"0.5847";"1.0746";"0.627"
"244916_at";"16";"1";"1.0698";"0.5847";"1.0746";"0.627"
"244917_at";"17";"1";"1.0698";"0.5847";"1.0746";"0.627"
"244918_at";"18";"1";"1.0698";"0.5847";"1.0746";"0.627"
"244919_at";"19";"1";"1.0698";"0.5847";"1.0746";"0.627"
"244920_s_at";"20";"1.2583";"1.0505";"0.973";"0.6104";"0.0381"
"244921_s_at";"21";"1.2725";"1.038";"0.9852";"0.5896";"0.0328"
"244922_s_at";"22";"1";"1.0698";"0.5847";"1.0746";"0.627"
"244923_s_at";"23";"1.0017";"0.9735";"0.7066";"1.2885";"0.4813"
"244924_at";"24";"1.0177";"0.9335";"0.6505";"1.1985";"0.34"
"244925_at";"25";"1.0369";"0.9873";"0.7635";"1.2337";"0.3752"
"244926_s_at";"26";"1";"1.0698";"0.5847";"1.0746";"0.627"
"244927_at";"27";"1.0074";"1.346";"0.5128";"1.2906";"0.5037"
"244928_s_at";"28";"1.0475";"1.0281";"0.839";"1.088";"0.262"
"244929_at";"29";"1.0284";"1.402";"0.5681";"1.2865";"0.4403"
"244930_at";"30";"1";"1.0698";"0.5847";"1.0746";"0.627"
"244931_at";"31";"1.0217";"0.978";"0.7378";"1.2516";"0.3918"
"244932_at";"32";"0.8934";"0.9603";"0.1551";"1.2908";"0.4701"
"244933_at";"33";"1.185";"1.0572";"0.9609";"0.703";"0.0637"
"244934_at";"34";"0.9307";"1.0481";"0.199";"1.2912";"0.4521"
"244935_at";"35";"0.9989";"1.3553";"0.525";"1.3407";"0.5713"
"244936_at";"36";"0.9889";"1.3014";"0.4031";"1.2918";"0.4547"
"244937_at";"37";"1.8111";"1.014";"0.9986";"0.1653";"0.0019"
"244938_at";"38";"1.2346";"1.0405";"0.9834";"0.6326";"0.0439"
"244939_at";"39";"1.0353";"1.2789";"0.3668";"1.1447";"0.2991"
"244940_at";"40";"1.0495";"1.3051";"0.4083";"1.1385";"0.2944"
"244941_at";"41";"1";"1.0698";"0.5847";"1.0746";"0.627"
"244942_at";"42";"1";"1.0698";"0.5847";"1.0746";"0.627"
"244943_at";"43";"1.0247";"0.9487";"0.6636";"1.2744";"0.4196"
"244944_s_at";"44";"1.1695";"1.0628";"0.944";"0.728";"0.0696"
"244945_at";"45";"1";"1.0698";"0.5847";"1.0746";"0.627"
"244946_at";"46";"1";"1.0698";"0.5847";"1.0746";"0.627"
"244947_at";"47";"1";"1.0698";"0.5847";"1.0746";"0.627"
"244948_at";"48";"1";"1.0698";"0.5847";"1.0746";"0.627"
"244949_at";"49";"1";"1.0698";"0.5847";"1.0746";"0.627"
"244950_at";"50";"1.1371";"1.0654";"0.9226";"0.7942";"0.0922"
"244951_s_at";"51";"1.3864";"1.0613";"0.9003";"0.5245";"0.0221"
"244952_at";"52";"1";"1.0698";"0.5847";"1.0746";"0.627"
"244953_s_at";"53";"1";"1.0698";"0.5847";"1.0746";"0.627"
