"ath1_probe";"probe_target_number";"FC_LFYGR_WT_GSE28062";"pfp_LFYGR_WT_down";"P.value_LFYGR_WT_down";"pfp_LFYGR_WT_up";"P.value_LFYGR_WT_up"
"244901_at";"1";"1";"1.2772";"0.6831";"1.2194";"0.7517"
"244902_at";"2";"0.8593";"0.493";"0.0564";"1.0953";"0.9229"
"244903_at";"3";"0.9346";"1.1211";"0.2286";"1.0445";"0.8095"
"244904_at";"4";"1";"1.2772";"0.6831";"1.2194";"0.7517"
"244905_at";"5";"1";"1.2772";"0.6831";"1.2194";"0.7517"
"244906_at";"6";"1.3095";"1.1087";"0.9527";"0.1442";"0.0072"
"244907_at";"7";"1";"1.2772";"0.6831";"1.2194";"0.7517"
"244908_at";"8";"1";"1.2772";"0.6831";"1.2194";"0.7517"
"244909_at";"9";"1";"1.2772";"0.6831";"1.2194";"0.7517"
"244910_s_at";"10";"1";"1.2772";"0.6831";"1.2194";"0.7517"
"244911_at";"11";"1";"1.2772";"0.6831";"1.2194";"0.7517"
"244912_at";"12";"0.7799";"0.2214";"0.017";"1.1007";"0.9359"
"244913_at";"13";"1";"1.2772";"0.6831";"1.2194";"0.7517"
"244914_at";"14";"1";"1.2772";"0.6831";"1.2194";"0.7517"
"244915_s_at";"15";"1";"1.2772";"0.6831";"1.2194";"0.7517"
"244916_at";"16";"1";"1.2772";"0.6831";"1.2194";"0.7517"
"244917_at";"17";"1";"1.2772";"0.6831";"1.2194";"0.7517"
"244918_at";"18";"1";"1.2772";"0.6831";"1.2194";"0.7517"
"244919_at";"19";"1.0018";"1.0528";"0.7548";"1.5088";"0.6448"
"244920_s_at";"20";"0.9914";"1.4197";"0.3742";"1.4893";"0.6115"
"244921_s_at";"21";"1.0504";"1.1034";"0.9017";"1.0728";"0.2998"
"244922_s_at";"22";"1";"1.2772";"0.6831";"1.2194";"0.7517"
"244923_s_at";"23";"1";"1.2772";"0.6831";"1.2194";"0.7517"
"244924_at";"24";"0.9219";"1.0146";"0.1885";"1.5359";"0.7378"
"244925_at";"25";"1";"1.2772";"0.6831";"1.2194";"0.7517"
"244926_s_at";"26";"1";"1.2772";"0.6831";"1.2194";"0.7517"
"244927_at";"27";"1.1784";"1.0976";"0.9761";"0.4041";"0.0471"
"244928_s_at";"28";"1.0218";"1.1092";"0.9465";"1.0779";"0.3026"
"244929_at";"29";"0.9497";"1.1152";"0.2264";"1.0599";"0.849"
"244930_at";"30";"1";"1.2772";"0.6831";"1.2194";"0.7517"
"244931_at";"31";"0.9953";"1.642";"0.6072";"1.0041";"0.7506"
"244932_at";"32";"0.6956";"0.055";"0.0026";"1.0474";"0.9998"
"244933_at";"33";"0.7831";"0.216";"0.0165";"1.1018";"0.9869"
"244934_at";"34";"0.8431";"0.4371";"0.0464";"1.1094";"0.9714"
"244935_at";"35";"0.8876";"0.6527";"0.0868";"1.1008";"0.9371"
"244936_at";"36";"0.8718";"0.505";"0.0586";"1.0933";"0.9158"
