"ath1_probe";"probe_target_number";"FC_35LFY_Ler_GSE911";"pfp_35LFY_Ler_GSE911";"P.value_35LFY_Ler_GSE911";"FC_DexCyclo_Cyclo_GSE911";"pfp_FC_DexCyclo_Cyclo_GSE911";"P.value_FC_DexCyclo_Cyclo_GSE911";"FC_DEX_MOCK_GSE911";"pfp_DEX_MOCK_GSE911";"P.value_DEX_MOCK_GSE911";"FC_LFYGR_WT_GSE28062";"pfp_LFYGR_WT_GSE28062";"P.value_LFYGR_WT_GSE28062";"Locus.Identifier";"Annotation"
"244932_at";32;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.6956;"0.0549";"0.0026";"ATCG01060";"Encodes the PsaC subunit of photosystem I."
"244991_s_at";91;NA;NA;NA;NA;NA;NA;NA;NA;NA;1.4325;"0.0628";"0.0018";"ATCG01250;ATCG00890";"[ATCG01250, NADH dehydrogenase ND2];[ATCG00890, NADH dehydrogenase ND2]"
"245034_at";134;NA;NA;NA;4.101;0.0187;"0";42.3852;0;"0";15.8682;"0";"0";"AT2G26390";"serpin, putative / serine protease inhibitor, putative"
"245038_at";138;3.7117;"0.0192";"0";NA;NA;NA;NA;NA;NA;NA;NA;NA;"AT2G26560";"PLP2 (PHOSPHOLIPASE A 2A); nutrient reservoir"
"245040_at";140;NA;NA;NA;NA;NA;NA;NA;NA;NA;1.3819;"0.062";"0.0018";"AT2G26520";"similar to unknown protein [Arabidopsis thaliana] (TAIR:AT3G57500.1); similar to hypothetical protein [Vitis vinifera] (GB:CAN81423.1)"
"245041_at";141;3.2288;"0.0313";"0,0001";NA;NA;NA;5.5209;0.0125;"0";2.14;"0,0005";"0";"AT2G26530";"AR781"
"245052_at";152;NA;NA;NA;NA;NA;NA;NA;NA;NA;2.4199;"0,0001";"0";"AT2G26440";"pectinesterase family protein"
"245059_at";159;NA;NA;NA;NA;NA;NA;NA;NA;NA;1.3574;"0.069";"0.0021";"AT2G39720";"RHC2A (RING-H2 finger C2A); protein binding / zinc ion binding"
"245075_at";175;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.5094;"0.008";"0,0002";"AT2G23180";"CYP96A1 (cytochrome P450, family 96, subfamily A, polypeptide 1); oxygen binding"
"245076_at";176;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.437;"0.0032";"0,0001";"AT2G23170";"GH3.3; indole-3-acetic acid amido synthetase"
