"ath1_probe";"probe_target_number";"FC_35LFY_Ler_GSE911";"pfp_35LFY_Ler_GSE911";"P.value_35LFY_Ler_GSE911";"FC_DexCyclo_Cyclo_GSE911";"pfp_FC_DexCyclo_Cyclo_GSE911";"P.value_FC_DexCyclo_Cyclo_GSE911";"FC_DEX_MOCK_GSE911";"pfp_DEX_MOCK_GSE911";"P.value_DEX_MOCK_GSE911";"FC_LFYGR_WT_GSE28062";"pfp_LFYGR_WT_GSE28062";"P.value_LFYGR_WT_GSE28062"
"245034_at";134;NA;NA;NA;4.101;0.0187;"0";42.3852;0;"0";15.8682;"0";"0"
"245038_at";138;3.7117;"0.0192";"0";NA;NA;NA;NA;NA;NA;NA;NA;NA
"245041_at";141;3.2288;"0.0313";"0,0001";NA;NA;NA;5.5209;0.0125;"0";2.14;"0,0005";"0"
"245165_at";265;0.1476;"0.0014";"0";NA;NA;NA;NA;NA;NA;NA;NA;NA
"245171_at";271;NA;NA;NA;4.7322;0.0176;"0";NA;NA;NA;5.8302;"0";"0"
"245196_at";296;2.5947;"0.0434";"0,0002";NA;NA;NA;NA;NA;NA;NA;NA;NA
"245244_at";344;2.1141;"0.076";"0,0004";NA;NA;NA;NA;NA;NA;NA;NA;NA
"245253_at";353;3.4646;"0.0258";"0,0001";NA;NA;NA;NA;NA;NA;0.6108;"0.026";"0.001"
"245296_at";396;3.0755;"0.0334";"0,0001";NA;NA;NA;NA;NA;NA;0.4777;"0.0053";"0,0001"
"245325_at";425;0.2328;"0.005";"0";NA;NA;NA;NA;NA;NA;NA;NA;NA
"245343_at";443;4.4139;"0.0107";"0";NA;NA;NA;NA;NA;NA;NA;NA;NA
"245386_at";486;0.4768;"0.0807";"0,0005";NA;NA;NA;NA;NA;NA;NA;NA;NA
"245392_at";492;NA;NA;NA;NA;NA;NA;0.1036;0.0033;"0";0.2272;"0";"0"
"245399_at";499;0.4885;"0.0858";"0,0006";NA;NA;NA;NA;NA;NA;NA;NA;NA
"245422_at";522;3.2863;"0.0296";"0,0001";NA;NA;NA;NA;NA;NA;NA;NA;NA
"245494_at";594;0.4916;"0.0922";"0,0007";NA;NA;NA;NA;NA;NA;NA;NA;NA
"245501_at";601;1.9847;"0.0907";"0,0006";NA;NA;NA;5.4453;0.0124;"0";2.5012;"0,0001";"0"
