Model_name;Type;Short_description;Curator_summary;Computational_description;probe_name;probe_target_number;FC_LFY.GR_Col_GSE28062;pfp;P.value;FC_SP3_Col;pfp;P.value;FC_SP1_Col;pfp;P.value;FC_35LFY_Ler_GSE911;pfp;P.value;FC_Dex_Mock_GSE911;pfp;P.value;FC_DexCyclo_Cyclo_GSE911;pfp;P.value;FC_Col.12DAF_lfy.12DAF;pfp;P.value;FC_Col.7DAF_lfy.7DAF;pfp;P.value;FC_Col.5DAF_lfy.5DAF;pfp;P.value;FC_Col.3DAF_lfy.3DAF;pfp;P.value
LFY-GR_vs_WT_GSE28062;;;;;262679_at;;0.0082;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;
LFY-GR_vs_WT_GSE28062;;;;;261224_at;;0.0198;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;
LFY-GR_vs_WT_GSE28062;;;;;262445_at;;0.0373;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;
LFY-GR_vs_WT_GSE28062;;;;;258646_at;;0.0442;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;
LFY-GR_vs_WT_GSE28062;;;;;260560_at;;0.047;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;
LFY-GR_vs_WT_GSE28062;;;;;251017_at;;0.0521;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;
LFY-GR_vs_WT_GSE28062;;;;;259871_at;;0.0539;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;
LFY-GR_vs_WT_GSE28062;;;;;257793_at;;0.0577;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;
LFY-GR_vs_WT_GSE28062;;;;;254914_at;;0.0589;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;
LFY-GR_vs_WT_GSE28062;;;;;258277_at;;0.0693;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;
LFY-GR_vs_WT_GSE28062;;;;;256503_at;;0.0698;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;
LFY-GR_vs_WT_GSE28062;;;;;266965_at;;0.072;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;
LFY-GR_vs_WT_GSE28062;;;;;265962_at;;0.0729;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;
LFY-GR_vs_WT_GSE28062;;;;;266209_at;;0.0833;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;
LFY-GR_vs_WT_GSE28062;;;;;246700_at;;0.0861;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;
LFY-GR_vs_WT_GSE28062;;;;;250467_at;;0.0858;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;
LFY-GR_vs_WT_GSE28062;;;;;260221_at;;0.0879;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;
LFY-GR_vs_WT_GSE28062;;;;;253044_at;;0.0922;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;
LFY-GR_vs_WT_GSE28062;;;;;250509_at;;0.0906;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;
LFY-GR_vs_WT_GSE28062;;;;;255110_at;;0.0911;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;
LFY-GR_vs_WT_GSE28062;;;;;252011_at;;0.0966;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;
LFY-GR_vs_WT_GSE28062;;;;;254016_at;;0.0973;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;
LFY-GR_vs_WT_GSE28062;;;;;255111_at;;0.099;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;
LFY-GR_vs_WT_GSE28062;;;;;253040_at;;0.1087;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;
LFY-GR_vs_WT_GSE28062;;;;;247023_at;;0.1064;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;
LFY-GR_vs_WT_GSE28062;;;;;245463_at;;0.1119;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;
LFY-GR_vs_WT_GSE28062;;;;;262396_at;;0.1135;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;
LFY-GR_vs_WT_GSE28062;;;;;252858_at;;0.117;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;
LFY-GR_vs_WT_GSE28062;;;;;251977_at;;0.1147;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;
LFY-GR_vs_WT_GSE28062;;;;;253525_at;;0.1219;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;
