No.;GenBank_identifier;GenBank predicted activity;Functional category;D/M;DC/C
1;At5g60630;Signaling protein?;Signaling;46;35
2;At5g49770;Leucine-rich repeat receptor kinase;Signaling;27;6
3;At5g03790;Homeodomain transcription factor;Transcription;11;1.6
4;At3g61250;myb DNA-binding protein (MYB17);Transcription;5;3
5;At1g16070;Tubby-related transcription factor;Transcription;4;2.5
6;At4g14090;UDP-glycosyltransferase;Protein modification;3;4.5
7;At5g03230;HMG motif-containing DNA binding;Transcription;3;2
8;At4g22780;EF-1 _-like;Translation;3;3
9;At3g43190;Sucrose synthase;Sugar/amino acid biosynthesis;3;2.5
10;At3g52470;Similar to HIN1 protein;Signaling;3;3.5
11;At3g47340;Glutamine-dependent asparagine synthetase;Sugar/amino acid biosynthesis;2.5;8
12;At1g61830;CHP-rich zinc finger protein;Transcription;2.5;2.5
13;At2g44450;Glycosyl hydrolase family 1;Sugar/amino acid biosynthesis;2.5;2
14;At3g19390;Cysteine proteinase;Protein modification;2;2.5
15;At1g68880;bZIP family transcription factor;Transcription;2;2
